student_id;subject_id
5;0
5;7
5;14
5;21
5;28
5;35
5;42
5;49
18;0
18;7
18;14
18;21
18;28
18;35
18;42
18;49
47;0
47;7
47;14
47;21
47;28
47;35
47;42
47;49
52;0
52;7
52;14
52;21
52;28
52;35
52;42
52;49
55;0
55;7
55;14
55;21
55;28
55;35
55;42
55;49
56;0
56;7
56;14
56;21
56;28
56;35
56;42
56;49
59;0
59;7
59;14
59;21
59;28
59;35
59;42
59;49
65;0
65;7
65;14
65;21
65;28
65;35
65;42
65;49
68;0
68;7
68;14
68;21
68;28
68;35
68;42
68;49
81;0
81;7
81;14
81;21
81;28
81;35
81;42
81;49
86;0
86;7
86;14
86;21
86;28
86;35
86;42
86;49
102;0
102;7
102;14
102;21
102;28
102;35
102;42
102;49
105;0
105;7
105;14
105;21
105;28
105;35
105;42
105;49
108;0
108;7
108;14
108;21
108;28
108;35
108;42
108;49
119;0
119;7
119;14
119;21
119;28
119;35
119;42
119;49
127;0
127;7
127;14
127;21
127;28
127;35
127;42
127;49
132;0
132;7
132;14
132;21
132;28
132;35
132;42
132;49
135;0
135;7
135;14
135;21
135;28
135;35
135;42
135;49
144;0
144;7
144;14
144;21
144;28
144;35
144;42
144;49
158;0
158;7
158;14
158;21
158;28
158;35
158;42
158;49
163;0
163;7
163;14
163;21
163;28
163;35
163;42
163;49
170;0
170;7
170;14
170;21
170;28
170;35
170;42
170;49
181;0
181;7
181;14
181;21
181;28
181;35
181;42
181;49
187;0
187;7
187;14
187;21
187;28
187;35
187;42
187;49
191;0
191;7
191;14
191;21
191;28
191;35
191;42
191;49
195;0
195;7
195;14
195;21
195;28
195;35
195;42
195;49
203;0
203;7
203;14
203;21
203;28
203;35
203;42
203;49
204;0
204;7
204;14
204;21
204;28
204;35
204;42
204;49
221;0
221;7
221;14
221;21
221;28
221;35
221;42
221;49
236;0
236;7
236;14
236;21
236;28
236;35
236;42
236;49
246;0
246;7
246;14
246;21
246;28
246;35
246;42
246;49
251;0
251;7
251;14
251;21
251;28
251;35
251;42
251;49
253;0
253;7
253;14
253;21
253;28
253;35
253;42
253;49
254;0
254;7
254;14
254;21
254;28
254;35
254;42
254;49
258;0
258;7
258;14
258;21
258;28
258;35
258;42
258;49
266;0
266;7
266;14
266;21
266;28
266;35
266;42
266;49
267;0
267;7
267;14
267;21
267;28
267;35
267;42
267;49
275;0
275;7
275;14
275;21
275;28
275;35
275;42
275;49
288;0
288;7
288;14
288;21
288;28
288;35
288;42
288;49
297;0
297;7
297;14
297;21
297;28
297;35
297;42
297;49
299;0
299;7
299;14
299;21
299;28
299;35
299;42
299;49
301;0
301;7
301;14
301;21
301;28
301;35
301;42
301;49
317;0
317;7
317;14
317;21
317;28
317;35
317;42
317;49
335;0
335;7
335;14
335;21
335;28
335;35
335;42
335;49
345;0
345;7
345;14
345;21
345;28
345;35
345;42
345;49
352;0
352;7
352;14
352;21
352;28
352;35
352;42
352;49
361;0
361;7
361;14
361;21
361;28
361;35
361;42
361;49
376;0
376;7
376;14
376;21
376;28
376;35
376;42
376;49
377;0
377;7
377;14
377;21
377;28
377;35
377;42
377;49
385;0
385;7
385;14
385;21
385;28
385;35
385;42
385;49
387;0
387;7
387;14
387;21
387;28
387;35
387;42
387;49
398;0
398;7
398;14
398;21
398;28
398;35
398;42
398;49
403;0
403;7
403;14
403;21
403;28
403;35
403;42
403;49
413;0
413;7
413;14
413;21
413;28
413;35
413;42
413;49
414;0
414;7
414;14
414;21
414;28
414;35
414;42
414;49
415;0
415;7
415;14
415;21
415;28
415;35
415;42
415;49
416;0
416;7
416;14
416;21
416;28
416;35
416;42
416;49
418;0
418;7
418;14
418;21
418;28
418;35
418;42
418;49
435;0
435;7
435;14
435;21
435;28
435;35
435;42
435;49
452;0
452;7
452;14
452;21
452;28
452;35
452;42
452;49
456;0
456;7
456;14
456;21
456;28
456;35
456;42
456;49
476;0
476;7
476;14
476;21
476;28
476;35
476;42
476;49
489;0
489;7
489;14
489;21
489;28
489;35
489;42
489;49
492;0
492;7
492;14
492;21
492;28
492;35
492;42
492;49
504;0
504;7
504;14
504;21
504;28
504;35
504;42
504;49
505;0
505;7
505;14
505;21
505;28
505;35
505;42
505;49
506;0
506;7
506;14
506;21
506;28
506;35
506;42
506;49
507;0
507;7
507;14
507;21
507;28
507;35
507;42
507;49
514;0
514;7
514;14
514;21
514;28
514;35
514;42
514;49
518;0
518;7
518;14
518;21
518;28
518;35
518;42
518;49
528;0
528;7
528;14
528;21
528;28
528;35
528;42
528;49
536;0
536;7
536;14
536;21
536;28
536;35
536;42
536;49
544;0
544;7
544;14
544;21
544;28
544;35
544;42
544;49
553;0
553;7
553;14
553;21
553;28
553;35
553;42
553;49
555;0
555;7
555;14
555;21
555;28
555;35
555;42
555;49
564;0
564;7
564;14
564;21
564;28
564;35
564;42
564;49
580;0
580;7
580;14
580;21
580;28
580;35
580;42
580;49
583;0
583;7
583;14
583;21
583;28
583;35
583;42
583;49
593;0
593;7
593;14
593;21
593;28
593;35
593;42
593;49
597;0
597;7
597;14
597;21
597;28
597;35
597;42
597;49
603;0
603;7
603;14
603;21
603;28
603;35
603;42
603;49
607;0
607;7
607;14
607;21
607;28
607;35
607;42
607;49
613;0
613;7
613;14
613;21
613;28
613;35
613;42
613;49
618;0
618;7
618;14
618;21
618;28
618;35
618;42
618;49
643;0
643;7
643;14
643;21
643;28
643;35
643;42
643;49
664;0
664;7
664;14
664;21
664;28
664;35
664;42
664;49
667;0
667;7
667;14
667;21
667;28
667;35
667;42
667;49
675;0
675;7
675;14
675;21
675;28
675;35
675;42
675;49
679;0
679;7
679;14
679;21
679;28
679;35
679;42
679;49
691;0
691;7
691;14
691;21
691;28
691;35
691;42
691;49
706;0
706;7
706;14
706;21
706;28
706;35
706;42
706;49
711;0
711;7
711;14
711;21
711;28
711;35
711;42
711;49
713;0
713;7
713;14
713;21
713;28
713;35
713;42
713;49
740;0
740;7
740;14
740;21
740;28
740;35
740;42
740;49
752;0
752;7
752;14
752;21
752;28
752;35
752;42
752;49
772;0
772;7
772;14
772;21
772;28
772;35
772;42
772;49
773;0
773;7
773;14
773;21
773;28
773;35
773;42
773;49
782;0
782;7
782;14
782;21
782;28
782;35
782;42
782;49
784;0
784;7
784;14
784;21
784;28
784;35
784;42
784;49
799;0
799;7
799;14
799;21
799;28
799;35
799;42
799;49
812;0
812;7
812;14
812;21
812;28
812;35
812;42
812;49
829;0
829;7
829;14
829;21
829;28
829;35
829;42
829;49
850;0
850;7
850;14
850;21
850;28
850;35
850;42
850;49
861;0
861;7
861;14
861;21
861;28
861;35
861;42
861;49
862;0
862;7
862;14
862;21
862;28
862;35
862;42
862;49
867;0
867;7
867;14
867;21
867;28
867;35
867;42
867;49
878;0
878;7
878;14
878;21
878;28
878;35
878;42
878;49
886;0
886;7
886;14
886;21
886;28
886;35
886;42
886;49
892;0
892;7
892;14
892;21
892;28
892;35
892;42
892;49
893;0
893;7
893;14
893;21
893;28
893;35
893;42
893;49
894;0
894;7
894;14
894;21
894;28
894;35
894;42
894;49
898;0
898;7
898;14
898;21
898;28
898;35
898;42
898;49
902;0
902;7
902;14
902;21
902;28
902;35
902;42
902;49
917;0
917;7
917;14
917;21
917;28
917;35
917;42
917;49
921;0
921;7
921;14
921;21
921;28
921;35
921;42
921;49
929;0
929;7
929;14
929;21
929;28
929;35
929;42
929;49
963;0
963;7
963;14
963;21
963;28
963;35
963;42
963;49
965;0
965;7
965;14
965;21
965;28
965;35
965;42
965;49
981;0
981;7
981;14
981;21
981;28
981;35
981;42
981;49
985;0
985;7
985;14
985;21
985;28
985;35
985;42
985;49
990;0
990;7
990;14
990;21
990;28
990;35
990;42
990;49
993;0
993;7
993;14
993;21
993;28
993;35
993;42
993;49
997;0
997;7
997;14
997;21
997;28
997;35
997;42
997;49
998;0
998;7
998;14
998;21
998;28
998;35
998;42
998;49
1002;0
1002;7
1002;14
1002;21
1002;28
1002;35
1002;42
1002;49
1003;0
1003;7
1003;14
1003;21
1003;28
1003;35
1003;42
1003;49
1005;0
1005;7
1005;14
1005;21
1005;28
1005;35
1005;42
1005;49
1008;0
1008;7
1008;14
1008;21
1008;28
1008;35
1008;42
1008;49
1009;0
1009;7
1009;14
